name,x,y
LOCKb2014b_000286,952.526,211.501
LOCKb2014b_000286,554.893,177.723
LOCKb2014b_000286,212.5465,570.5815
LOCKb2014b_000286,484.709,201.4465
LOCKb2014b_000286,41.904,274.118
LOCKb2014b_000286,184.96,595.018
LOCKb2014b_000286,326.825,386.653
LOCKb2014b_000286,848.4845,215.235
LOCKb2014b_000286,534.338,185.507
LOCKb2014b_000287,42.643,273.017
LOCKb2014b_000287,352.546,310.714
LOCKb2014b_000287,51.5795,271.435
LOCKb2014b_000287,430.701,575.63
LOCKb2014b_000287,334.054,321.3835
LOCKb2014b_000287,600.3945,296.4465
LOCKb2014b_000287,839.998,216.9935
LOCKb2014b_000287,557.865,180.394
LOCKb2014b_000287,779.241,168.3115
LOCKb2014b_000287,214.7045,589.7015
LOCKb2014b_000287,979.3155,216.8345
LOCKb2014b_000287,736.7165,240.7195
LOCKb2014b_000287,479.644,202.093
LOCKb2014b_000287,442.748,575.384
LOCKb2014b_000287,536.1395,187.98
LOCKb2014b_000287,857.939,210.8765
LOCKb2014b_000288,614.7285,288.5425
LOCKb2014b_000288,778.521,171.232
LOCKb2014b_000288,494.524,199.771
LOCKb2014b_000288,353.384,310.6025
LOCKb2014b_000288,330.7755,381.9885
LOCKb2014b_000288,435.26,574.2
LOCKb2014b_000288,543.588,184.1
LOCKb2014b_000288,313.924,388.127
LOCKb2014b_000288,739.926,235.617
LOCKb2014b_000288,842.575,212.328
LOCKb2014b_000288,201.605,591.846
LOCKb2014b_000288,480.1365,202.962
LOCKb2014b_000288,454.621,567.2235
LOCKb2014b_000288,49.666,267.1715
LOCKb2014b_000288,723.405,591.39
LOCKb2014b_000288,976.06,211.969
LOCKb2014b_000289,735.476,238.145
LOCKb2014b_000289,562.035,177.864
LOCKb2014b_000289,494.2925,199.286
LOCKb2014b_000289,859.845,203.951
LOCKb2014b_000289,221.007,582.129
LOCKb2014b_000289,321.777,384.391
LOCKb2014b_000289,543.354,184.286
LOCKb2014b_000289,785.189,167.5795
LOCKb2014b_000289,724.983,590.428
LOCKb2014b_000289,428.663,578.301
LOCKb2014b_000289,471.588,204.327
LOCKb2014b_000289,183.893,595.548
LOCKb2014b_000289,840.011,212.345
LOCKb2014b_000289,45.626,268.82
LOCKb2014b_000290,615.5055,291.9405
LOCKb2014b_000290,59.549,267.597
LOCKb2014b_000290,560.81,186.182
LOCKb2014b_000290,733.039,589.415
LOCKb2014b_000290,540.231,186.157
LOCKb2014b_000290,838.186,216.073
LOCKb2014b_000290,972.7365,209.9715
LOCKb2014b_000290,476.675,202.748
LOCKb2014b_000290,455.826,569.4355
LOCKb2014b_000290,494.993,201.455
LOCKb2014b_000290,779.978,164.82
LOCKb2014b_000290,859.071,206.56
LOCKb2014b_000290,319.47,388.46
LOCKb2014b_000290,738.925,239.938
LOCKb2014b_000290,599.9615,296.447
LOCKb2014b_000290,172.327,593.637
LOCKb2014b_000290,427.476,573.789
LOCKb2014b_000290,34.435,271.778
LOCKb2014b_000290,356.6755,306.3505
LOCKb2014b_000290,213.753,590.692
LOCKb2014b_000291,858.0085,210.183
LOCKb2014b_000291,558.702,181.257
LOCKb2014b_000291,56.394,267.457
LOCKb2014b_000291,487.5745,201.7125
LOCKb2014b_000291,451.409,570.2075
LOCKb2014b_000291,781.795,169.894
LOCKb2014b_000291,727.005,239.027
LOCKb2014b_000291,595.789,297.5975
LOCKb2014b_000291,838.852,213.438
LOCKb2014b_000291,536.393,185.1385
LOCKb2014b_000291,212.967,591.9485
LOCKb2014b_000291,467.238,201.778
LOCKb2014b_000291,34.056,271.42
LOCKb2014b_000291,352.619,315.1365
LOCKb2014b_000291,427.927,571.318
LOCKb2014b_000291,176.951,589.364
